施設名,住所,電話番号,施設・バリアフリー情報URL,経度,緯度,分類
中央区役所,神戸市中央区東町114,078-335-7511（代）,https://www.city.kobe.lg.jp/d62766/kenko/handicap/syakaikatdudou/barrierfree/shurui/kankou/01-07.html,135.19493,34.68969004,区役所
三宮証明サービスコーナー,神戸市中央区三宮町1-10-1　神戸交通センタービル2階,078-333-1211,https://www.city.kobe.lg.jp/a53715/kenko/handicap/syakaikatdudou/barrierfree/shurui/kankou/01110.html,135.1938945,34.69326919,支所
兵庫区役所,神戸市兵庫区荒田町1-21-1,078-511-2111（代）,https://www.city.kobe.lg.jp/e93965/kenko/handicap/syakaikatdudou/barrierfree/shurui/kankou/01-08.html,135.1651715,34.68048213,区役所
北区役所,神戸市北区鈴蘭台北町1-9-1,078-593-1111（代）,https://www.city.kobe.lg.jp/f44624/kenko/handicap/syakaikatdudou/barrierfree/shurui/kankou/01-09.html,135.146186,34.72417204,区役所
北区 山田出張所,神戸市北区松が枝町2-1-4,078-581-1001,https://www.city.kobe.lg.jp/f44624/kenko/handicap/syakaikatdudou/barrierfree/shurui/kankou/01018.html,135.1532021,34.75920729,支所
北神区役所,神戸市北区藤原台中町1-2-1　北神中央ビル2・4階,078-981-5377(代）,https://www.city.kobe.lg.jp/g41995/kenko/handicap/syakaikatdudou/barrierfree/shurui/kankou/01-15.html,135.2215497,34.82115038,区役所
北区 有馬出張所,神戸市北区有馬町字中ノ畑241-1,078-904-0081,https://www.city.kobe.lg.jp/g41995/kenko/handicap/syakaikatdudou/barrierfree/shurui/kankou/01019.html,135.247356,34.80007204,支所
北区 道場出張所,神戸市北区道場町塩田字下溝尻1418,078-985-2381,https://www.city.kobe.lg.jp/g41995/kenko/handicap/syakaikatdudou/barrierfree/shurui/kankou/01020.html,135.231025,34.86691704,支所
北区 大沢出張所,神戸市北区大沢町中大沢1000,078-954-0301,https://www.city.kobe.lg.jp/g41995/kenko/handicap/syakaikatdudou/barrierfree/shurui/kankou/01022.html,135.166167,34.85428004,支所
北区 八多出張所,神戸市北区大沢町中大沢字泓1000,078-982-0002,https://www.city.kobe.lg.jp/g41995/kenko/handicap/syakaikatdudou/barrierfree/shurui/kankou/01021.html,135.199043,34.82632004,支所
北区 長尾出張所,神戸市北区長尾町宅原319-2,078-986-2581,https://www.city.kobe.lg.jp/g41995/kenko/handicap/syakaikatdudou/barrierfree/shurui/kankou/01023.html,135.209202,34.87399904,支所
北区 淡河出張所,神戸市北区淡河町木津字尾通54,078-959-0131,https://www.city.kobe.lg.jp/g41995/kenko/handicap/syakaikatdudou/barrierfree/shurui/kankou/01024.html,135.112114,34.81621104,支所
新長田合同庁舎,神戸市長田区二葉町5丁目1-32,市民課078-793-1212（代）、保健福祉課078-793-1313（代）,https://www.city.kobe.lg.jp/a53704/godotyosyabarrierfree.html,135.148012,34.65321204,支所
長田区役所,神戸市長田区北町3-4-3,078-579-2311（代）,https://www.city.kobe.lg.jp/h20870/kenko/handicap/syakaikatdudou/barrierfree/shurui/kankou/01-10.html,135.150887,34.66570104,区役所
須磨区役所,神戸市須磨区大黒町4-1-1,078-731-4341（代）,https://www.city.kobe.lg.jp/i97028/kenko/handicap/syakaikatdudou/barrierfree/shurui/kankou/01-11.html,135.1337159,34.65864198,区役所
須磨区 北須磨支所,神戸市須磨区中落合2-2-5　名谷センタービル４、5階,078-793-1212（代）,https://www.city.kobe.lg.jp/i53821/kenko/handicap/syakaikatdudou/barrierfree/shurui/kankou/01-14.html,135.093677,34.67823369,支所
垂水区役所,神戸市垂水区日向1-5-1,078-708-5151（代）,https://www.city.kobe.lg.jp/j58252/kenko/handicap/syakaikatdudou/barrierfree/shurui/kankou/01-12.html,135.0567917,34.63007165,区役所
垂水区役所　明舞サービスコーナー,明石市松が丘2-3-7　松が丘ビル2階,078-912-3484,https://www.city.kobe.lg.jp/j19514/kuyakusho/tarumiku/annai/service.html,135.025876,34.65267604,支所
西区役所,神戸市西区糀台5-4-1,078-940-9501（代）,https://www.city.kobe.lg.jp/k21463/kenko/handicap/syakaikatdudou/barrierfree/shurui/kankou/01-13.html,135.01941,34.72090004,区役所
西区 玉津支所,神戸市西区玉津町小山180-3,078-965-6400,https://www.city.kobe.lg.jp/k87292/kenko/handicap/syakaikatdudou/barrierfree/shurui/kankou/01-16.html,134.9816,34.68325004,支所
西区 伊川谷出張所,神戸市西区池上4-15-2,078-974-0001,https://www.city.kobe.lg.jp/k21463/kenko/handicap/syakaikatdudou/barrierfree/shurui/kankou/01025.html,135.024515,34.67481835,支所
西区 押部谷出張所,神戸市西区押部谷町西盛字老之本313,078-994-1001,https://www.city.kobe.lg.jp/k21463/kenko/handicap/syakaikatdudou/barrierfree/shurui/kankou/01026.html,135.033581,34.75375804,支所
西区 神出出張所,神戸市西区神出町田井字蔵垣内50,078-965-1001,https://www.city.kobe.lg.jp/k21463/kenko/handicap/syakaikatdudou/barrierfree/shurui/kankou/01027.html,134.990048,34.74715904,支所
西区 岩岡出張所,神戸市西区岩岡町岩岡字西場922-1,078-967-1001,https://www.city.kobe.lg.jp/k21463/kenko/handicap/syakaikatdudou/barrierfree/shurui/kankou/01028.html,134.947762,34.72064304,支所
西区 櫨谷出張所,神戸市西区櫨谷町長谷字光松71-1,078-991-1001,https://www.city.kobe.lg.jp/k87292/kenko/handicap/syakaikatdudou/barrierfree/shurui/kankou/01029.html,135.019706,34.70701004,支所
西区 平野出張所,神戸市西区平野町宮前字上松148,078-961-2001,https://www.city.kobe.lg.jp/k87292/kenko/handicap/syakaikatdudou/barrierfree/shurui/kankou/01030.html,134.983341,34.70903504,支所
